Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
45000,6.9956055,0.0017089844,-1682.4373,2.4461129,1,5.0498223,-1684.8834,-1679.9911,-1682.3052
45500,7.38501,0.01171875,-1682.5059,2.4707568,1.0000001,4.3037853,-1684.9766,-1680.0352,-1682.4462
46000,7.093628,0.00012207031,-1682.7596,2.3327813,1.0000001,3.8399282,-1685.0924,-1680.4269,-1682.6611
46500,8.63208,0.0017089844,-1682.5261,2.4207978,1,4.612096,-1684.9469,-1680.1053,-1682.4287
47000,7.3917236,0.01940918,-1682.7291,2.4402418,1,6.18682,-1685.1693,-1680.289,-1682.6062
47500,7.373657,0.0037841797,-1682.4938,2.3345973,1,6.732318,-1684.8284,-1680.1592,-1682.3967
48000,6.7323,0.002319336,-1682.5428,2.3224084,0.99999994,4.0422983,-1684.8652,-1680.2205,-1682.3262
48500,6.8796387,0.00390625,-1682.5454,2.2940927,1,5.0554357,-1684.8395,-1680.2513,-1682.4668
49000,7.1846924,0.028442383,-1682.6207,2.3213882,1,5.7944126,-1684.9421,-1680.2993,-1682.4934
49500,7.2354736,0.016967773,-1682.4943,2.258554,0.99999994,4.0909433,-1684.7528,-1680.2357,-1682.3804
50000,7.105713,0.0014648438,-1682.6453,2.3396077,1,5.8468432,-1684.9849,-1680.3057,-1682.6084
50500,7.1950684,0.0068359375,-1682.6299,2.3792381,1,3.9063125,-1685.0092,-1680.2506,-1682.5527
51000,7.9057617,0.04272461,-1682.5901,2.328728,1,4.148998,-1684.9188,-1680.2614,-1682.4954
51500,6.6622314,0.0357666,-1682.8732,2.2892294,0.99999994,4.9905605,-1685.1624,-1680.584,-1682.7482
52000,6.8641357,0.010375977,-1682.6815,2.3430743,1,5.240193,-1685.0245,-1680.3385,-1682.555
52500,6.70459,0.0014648438,-1683.0432,2.32955,1,5.3014116,-1685.3728,-1680.7136,-1682.9233
53000,7.0091553,0.053588867,-1682.6183,2.312572,1,4.6752887,-1684.9309,-1680.3057,-1682.539
53500,6.8565674,0.008666992,-1682.746,2.32435,1,5.2866745,-1685.0703,-1680.4216,-1682.6027
54000,6.8686523,0.009033203,-1682.655,2.2683074,1,5.5286565,-1684.9233,-1680.3867,-1682.588
54500,7.0373535,0.009033203,-1682.5728,2.295033,1.0000002,5.7143435,-1684.8678,-1680.2777,-1682.4362
55000,7.892334,0.0012207031,-1682.8579,2.3497562,0.9999999,7.009196,-1685.2076,-1680.5082,-1682.7247
55500,5.689331,0.0020751953,-1682.8846,2.1412354,1,3.4475794,-1685.0259,-1680.7434,-1682.6869
56000,7.069092,0.0146484375,-1682.9124,2.403411,1,4.0449076,-1685.3158,-1680.5089,-1682.7783
56500,6.609375,0.0087890625,-1682.696,2.237611,1,5.4313726,-1684.9337,-1680.4584,-1682.5303
57000,6.464966,0.01184082,-1682.8412,2.320493,1,3.7633116,-1685.1616,-1680.5208,-1682.5858
57500,9.898193,0.02734375,-1682.655,2.3547325,1,7.857722,-1685.0098,-1680.3003,-1682.5438
58000,9.624756,0.0053710938,-1682.9834,2.495804,0.9999999,13.81935,-1685.4792,-1680.4875,-1682.7913
58500,8.451172,0.0056152344,-1682.9456,2.1439853,1.0000001,11.181509,-1685.0896,-1680.8015,-1682.8845
59000,6.5733643,0.012084961,-1682.848,2.2431874,1,5.375024,-1685.0912,-1680.6049,-1682.6843
59500,6.4744873,0.0028076172,-1682.9259,2.159725,0.99999994,5.0030084,-1685.0856,-1680.7662,-1682.7734
60000,6.963135,0.00048828125,-1683.0032,2.2404385,1,4.6980076,-1685.2437,-1680.7627,-1682.8679
60500,6.878662,0.0036621094,-1682.7305,2.1737938,1,5.5139623,-1684.9043,-1680.5566,-1682.592
61000,8.046265,0.015014648,-1682.9645,2.3034446,1,8.197119,-1685.268,-1680.661,-1682.8481
61500,7.192627,0.0061035156,-1683.0779,2.3817825,1,4.4779196,-1685.4597,-1680.696,-1682.9485
62000,7.432007,0.0052490234,-1683.214,2.2344518,1,3.7576222,-1685.4485,-1680.9795,-1682.9646
62500,8.150513,0.004760742,-1683.0546,2.268434,1,8.626292,-1685.323,-1680.7861,-1682.9807
63000,6.6383057,0.013793945,-1682.8595,2.2105503,1,3.3064768,-1685.0701,-1680.6489,-1682.796
